Ref,Val,Package,PosX,PosY,Rot,Side
"","","",213.711078,-147.562500,0.000000,top
"","","",211.211078,-150.062500,0.000000,top
"","","",211.211078,-148.812500,0.000000,top
"","","",211.211078,-147.562500,0.000000,top
"","","",213.711078,-148.812500,0.000000,top
"","","",212.461078,-148.812500,0.000000,top
"","","",213.711078,-150.062500,0.000000,top
"","","",212.461078,-147.562500,0.000000,top
"","","",212.461078,-150.062500,0.000000,top
"SW1","SW_Push","SW_PG1350",246.628807,-108.701032,12.000000,top
"SW2","SW_Push","SW_PG1350",64.185633,-97.225945,-12.000000,top
"SW3","SW_Push","SW_PG1350",60.235311,-115.810749,-12.000000,top
"SW4","SW_Push","SW_PG1350",56.284989,-134.395553,-12.000000,top
"SW5","SW_Push","SW_PG1350",83.186261,-99.219972,-12.000000,top
"SW6","SW_Push","SW_PG1350",79.235939,-117.804776,-12.000000,top
"SW7","SW_Push","SW_PG1350",75.285617,-136.389580,-12.000000,top
"SW8","SW_Push","SW_PG1350",102.290845,-100.724925,-12.000000,top
"SW9","SW_Push","SW_PG1350",98.340523,-119.309729,-12.000000,top
"SW10","SW_Push","SW_PG1350",94.390200,-137.894533,-12.000000,top
"SW11","SW_Push","SW_PG1350",121.395428,-102.229878,-12.000000,top
"SW12","SW_Push","SW_PG1350",117.445106,-120.814682,-12.000000,top
"SW13","SW_Push","SW_PG1350",113.494784,-139.399487,-12.000000,top
"SW14","SW_Push","SW_PG1350",109.544462,-157.984291,-12.000000,top
"SW15","SW_Push","SW_PG1350",139.460453,-108.625569,-12.000000,top
"SW16","SW_Push","SW_PG1350",135.510131,-127.210373,-12.000000,top
"SW17","SW_Push","SW_PG1350",131.559809,-145.795178,-12.000000,top
"SW18","SW_Push","SW_PG1350",127.609487,-164.379982,-12.000000,top
"SW19","SW_Push","SW_PG1350",158.461081,-110.619596,-12.000000,top
"SW20","SW_Push","SW_PG1350",154.510759,-129.204400,-12.000000,top
"SW21","SW_Push","SW_PG1350",150.560437,-147.789205,-12.000000,top
"SW22","SW_Push","SW_PG1350",146.610115,-166.374009,-12.000000,top
"SW23","SW_Push","SW_PG1350",178.293356,-108.701032,-12.000000,top
"SW24","SW_Push","SW_PG1350",174.343034,-127.285837,-12.000000,top
"SW25","SW_Push","SW_PG1350",170.392712,-145.870641,-12.000000,top
"SW26","SW_Push","SW_PG1350",173.166601,-176.108127,-27.000000,top
"SW27","SW_Push","SW_PG1350",250.579129,-127.285837,12.000000,top
"SW28","SW_Push","SW_PG1350",254.529451,-145.870641,12.000000,top
"SW29","SW_Push","SW_PG1350",251.755561,-176.108127,27.000000,top
"SW30","SW_Push","SW_PG1350",266.461081,-110.619596,12.000000,top
"SW31","SW_Push","SW_PG1350",270.411403,-129.204400,12.000000,top
"SW32","SW_Push","SW_PG1350",274.361725,-147.789205,12.000000,top
"SW33","SW_Push","SW_PG1350",278.312048,-166.374009,12.000000,top
"SW34","SW_Push","SW_PG1350",285.461709,-108.625569,12.000000,top
"SW35","SW_Push","SW_PG1350",289.412031,-127.210373,12.000000,top
"SW36","SW_Push","SW_PG1350",293.362353,-145.795178,12.000000,top
"SW37","SW_Push","SW_PG1350",297.312675,-164.379982,12.000000,top
"SW38","SW_Push","SW_PG1350",303.526734,-102.229878,12.000000,top
"SW39","SW_Push","SW_PG1350",307.477056,-120.814682,12.000000,top
"SW40","SW_Push","SW_PG1350",311.427378,-139.399487,12.000000,top
"SW41","SW_Push","SW_PG1350",315.377701,-157.984291,12.000000,top
"SW42","SW_Push","SW_PG1350",322.631318,-100.724925,12.000000,top
"SW43","SW_Push","SW_PG1350",326.581640,-119.309729,12.000000,top
"SW44","SW_Push","SW_PG1350",330.531962,-137.894533,12.000000,top
"SW45","SW_Push","SW_PG1350",341.735901,-99.219972,12.000000,top
"SW46","SW_Push","SW_PG1350",345.686224,-117.804776,12.000000,top
"SW47","SW_Push","SW_PG1350",349.636546,-136.389580,12.000000,top
"SW48","SW_Push","SW_PG1350",360.736529,-97.225945,12.000000,top
"SW49","SW_Push","SW_PG1350",364.686851,-115.810749,12.000000,top
"SW50","SW_Push","SW_PG1350",368.637174,-134.395553,12.000000,top
